feature,importance
productos_diferentes_semana,1888
total_compras_producto_semana,1361
items_promedio_por_semana,573
size,380
semana,209
X,186
brand_Brand 34,148
brand_Brand 24,145
brand_Brand 44,127
brand_Brand 3,113
customer_type_ABARROTES,112
customer_type_CANAL FRIO,99
segment_MEDIUM,61
brand_Brand 31,58
customer_type_MINIMARKET,57
customer_type_RESTAURANT,20
brand_Brand 10,18
brand_Brand 35,17
customer_type_MAYORISTA,15
segment_HIGH,13
segment_LOW,13
brand_Brand 1,12
segment_PREMIUM,8
customer_type_TIENDA DE CONVENIENCIA,3
package_BOTELLA,3
customer_type_SUPERMERCADO,2
brand_Brand 7,2
num_deliver_per_week,0
brand_Brand 21,0
brand_Brand 22,0
brand_Brand 2,0
brand_Brand 16,0
brand_Brand 14,0
brand_Brand 15,0
brand_Brand 28,0
brand_Brand 26,0
brand_Brand 52,0
brand_Brand 33,0
brand_Brand 55,0
brand_Brand 54,0
package_KEG,0
package_LATA,0
