feature,importance
productos_diferentes_semana,554
total_compras_producto_semana,521
items_promedio_por_semana,289
size,123
brand_Brand 34,102
X,87
customer_type_ABARROTES,55
brand_Brand 24,47
customer_type_CANAL FRIO,44
segment_MEDIUM,41
semana,32
brand_Brand 3,28
customer_type_MINIMARKET,25
brand_Brand 44,25
customer_type_MAYORISTA,21
package_BOTELLA,13
brand_Brand 35,13
segment_HIGH,13
segment_PREMIUM,12
segment_LOW,11
brand_Brand 31,9
brand_Brand 10,8
brand_Brand 21,6
customer_type_RESTAURANT,6
package_KEG,5
brand_Brand 15,5
package_LATA,3
brand_Brand 1,2
brand_Brand 54,2
brand_Brand 7,1
brand_Brand 33,1
brand_Brand 16,1
brand_Brand 14,1
customer_type_SUPERMERCADO,1
num_deliver_per_week,0
brand_Brand 28,0
brand_Brand 2,0
brand_Brand 22,0
customer_type_TIENDA DE CONVENIENCIA,0
brand_Brand 26,0
brand_Brand 55,0
brand_Brand 52,0
