feature,importance
productos_diferentes_semana,1623
total_compras_producto_semana,1268
items_promedio_por_semana,690
size,507
X,443
semana,232
brand_Brand 24,154
customer_type_CANAL FRIO,146
customer_type_ABARROTES,136
brand_Brand 3,132
brand_Brand 34,122
segment_MEDIUM,113
brand_Brand 44,93
customer_type_MINIMARKET,64
package_BOTELLA,55
brand_Brand 35,47
customer_type_MAYORISTA,46
brand_Brand 31,44
customer_type_RESTAURANT,32
segment_HIGH,32
segment_PREMIUM,31
segment_LOW,24
brand_Brand 7,22
brand_Brand 1,21
brand_Brand 10,20
package_LATA,18
customer_type_SUPERMERCADO,13
brand_Brand 21,11
brand_Brand 15,8
package_KEG,8
brand_Brand 16,6
brand_Brand 33,4
brand_Brand 54,4
brand_Brand 14,4
brand_Brand 52,2
customer_type_TIENDA DE CONVENIENCIA,2
brand_Brand 28,1
brand_Brand 26,1
num_deliver_per_week,0
brand_Brand 22,0
brand_Brand 2,0
brand_Brand 55,0
